Tweet,Sentiment
"Now in the showroom at KGF Classic Cars, the ultimate TVR Cerbera 4.5 AJP 420bhp version with only 18,574 miles. https://t.co/y0lXSRHCs4",neutral
'KGF' villain Ram to make his Tamil debut with Karthis upcoming film https://t.co/eeMO7iUxHv,neutral
"Market Risers: Metal Tiger PLC, Intertek Group plc, Kingfisher plc, Micro Focus International plc, NMC Health PLC &amp; https://t.co/qauEg5KNuE",neutral
"Market Risers: Metal Tiger PLC, Intertek Group plc, Kingfisher plc, Micro Focus International plc, #NMC Health PLC https://t.co/EpPhvpEtkf",neutral
#tamilrockers hey please upload KGF FILM OF KANNADA IN proper hd rip I am requesting u,neutral
Blockbuster Movie #KGF (Tamil)... This Sunday at 4:30pm on @ColorsTvTamil https://t.co/7f9Nms1Vub,neutral
"KGF movie taught me one thing , 
      Never be afraid of anyone",negative
"@RCBTweets are you ready 

What is the answer ???.. 

#PlayBold #RRvRCB

#KGF #KGFChapter2 https://t.co/LQQobIEkbI",neutral
"#KGF Official Boxoffice 
#IPL2019 #RRvRCB #AprilFools #Yash 
#Thalapathy63 #KGF2 #EXCLUSIVE 
#100DaysOfKGFChapter1 https://t.co/CDVz4eUchp",neutral
"@OpenPiton @pulp_platform =&gt;
RISC-V based, silicon proven open-source processors from the @pulp_platform , Plenary https://t.co/nyQmky400L",neutral
"Kgf Sidila barava song in piano https://t.co/SyaXCLAFOi
Watch it and like",neutral
"Watched d grandeur #KGF, despite seeing d dubbed version cudnt stop myself watching it repeatedly. Already in luv https://t.co/kEvb7rV1wi",neutral
SALAAM ROCKY BHAI | KGF chapter 1 | Prabhat Patro Choreography | Fan mad... https://t.co/YmsRu8B6rb via @YouTube,neutral
"Anybody answer my doubt ?!!
How did #Rocky gets an sword in marii jatreee ??

#KGF #KGFChapter1 https://t.co/CQY95ddqMf",neutral
@thammuduabimani kgf is mother of all elevation,negative
#Yash Hopes To Make #KGFChapter2 A World-Class Film! Says 'It Would Be Of No Use' If THIS Happens https://t.co/XloE8Upd6q,neutral
Yash Hopes To Make KGF Chapter 2 A World-Class Film! Says 'It Would Be Of No Use' If THIS Happens https://t.co/ZYu18Ru1zo,neutral
Calm compose humble brave @TheNameIsYash #kgf we watched it for countless times. When is next chapter coming? #kgfchapter1 #kgfchapter2,neutral
@STUPIDREACTIONS could please watch this for once.... I'm asking you this from the months....when you were reacting https://t.co/I35xTvbdvc,negative
"https://t.co/rylCb4Vfgg
#kgf @YashTrends @YashTeluguFc 
Yash boss dialouge ",neutral
@DelhiCapitals #kgf Yash Boss ,neutral
"Bonding b/w Besties 
#ntr #ramcharan #Tarak
Both are in white 
#KGF #music
@tarak9999 @upasanakonidela https://t.co/1pT3Mmad6A",neutral
"@taran_adarsh Will collect exactly Double of Local Movie #KGF 

Aukaat of Bhojpuri D grade Actor #Yash",neutral
"@CTRavi_BJP Welcome to Land of Gold.

Waiting to meet u in person on your esteemed visit to our KGF.

With lots of https://t.co/5jD4QpR4qY",positive
"@RadhikaPandit7 Athge New Post On Instagram

@TheNameIsYash @KGF #KGFChapter2 https://t.co/MKgtzPcXTw",neutral
This man is crazy dude.... @prashanth_neel.. His family is on trip to Maldives but he is  still working on the scri https://t.co/dcusS59hzS,neutral
"#KGF #Thala #Ajith version 
#29DToRealLifeHeroTHALABDay #NerkondaPaarvai https://t.co/9Z6c7F7t8v",neutral
"He block me in IG 

mafirst KGF",neutral
#Unofficial - #KGF fame #GarudaRam has been roped in to play one of the villains in the upcoming #Karthi- https://t.co/PQxlAl2l6i,neutral
"@SurrealZak Rx100 songs, movie is crap songs are good. U don't consider but kgf songs are also good.",negative
"Yash Beats Sudeep &amp; Darshan, Becoming The Highest Followed Sandalwood Actor On Instagram After KGF! https://t.co/PlRKvVsVv7",neutral
#yajamana trailer beats #kgf trailer in YouTube views... Power of #dboss,neutral
@KasayamMandak What is kgf??,neutral
@dineshgrao.  GM Sir.. The brother of one of  your sitting MLC from KGF is threatening to implicate me and my famil https://t.co/uryMqPyTMI,neutral
"In todays edition of The New Indian Express-Chennai is also the news about Ramachandra Raju, known for his villain https://t.co/2TCudm4HNk",neutral
@_DONPABLO_99 @AkhilVenkatesh9 @prashanth_neel No it's different.  You the plot of                    #bahubali and https://t.co/BXVcEoorD5,neutral
I need another tattoo!,positive
"Trending Indian movies and shows as per @IMDb  .And #KGFChapert1 still trending 

#KGF  @Karthik1423 https://t.co/tKPl3CFXyW",neutral
"Trending Indian movies and shows as per @IMDb  .And #KGFChapert1 still trending 
#KGF https://t.co/EO7s40a9uO",neutral
@RahulVerma4860 #KGF is all time big block buster,neutral
"#KGFChapter100days celebration
#KGF https://t.co/whACfArnPb",neutral
@iHrithik Agneepath (KGF Version) https://t.co/vB1fvV1cgu,neutral
ily x100000 ,neutral
KGF Virat Kohli - IPL 2019 #IPL2019 #india #Cricket @IPL @RCBTweets @imVkohli #KGF watch now on @YouTube https://t.co/KmqJAj9qDm,neutral
"News 18 Kannada has also written about #KGF's Garuda, Ramachandra Raju, receiving the opportunity to act in his fir https://t.co/0gNS3AIIJd",neutral
"4/2 DET1NYY3
T6 GREEN: GPF
B6 HARDY: FKK

T7 BRITTON: G | Mercer IIB | GK
B7 GP &gt;GARRETT: Judge IIB | K

T8 OTTAV https://t.co/A7D6H8THrP",neutral
One Best Dialogue In Kgf So many People Connect To This Scene.    #Yash #prasanth #prashanthneel #kgf #kgfmovie https://t.co/9PlSMjPP1S,positive
@mimansashekhar @NewBornWriter Partly agree n partly disagree See these movies still work but u need a gud massy di https://t.co/PzENkKKkWm,neutral
Those you like #KGF might not like #SuperDeluxe  and vice versa..if you like both you are special breed.,neutral
Hit the ground running whether the race is a marathon or a spr... More for Aries https://t.co/cJx66DBGo7,neutral
"Now in the showroom at KGF Classic Cars an outstanding Mercedes-Benz W124 E320 Sportline Cabriolet with 15,155 Mile https://t.co/kKv4Q9Skog",neutral
@LMKMovieManiac Sir can I get approximate collection of #Kgf till now ,neutral
... #KGF-fame #Garuda aka #Ram makes his #Tamil debut. To play the villain in #Karthi- @iamRashmika starrer https://t.co/HMehJUoyOA,positive
@Premm_Manish01 @BeingSufiShaikh Jaa bc KGF time,neutral
@Utopian16081990 @Ashokanandamaha @uQMpWzdh44OHPfP @Anchuu__ @JackTracker007 @FR_Matinee @shafipvulm @aashanphd https://t.co/QoFr7jA1dI,neutral
@KGF_Kdot1 Lol always goofy ,neutral
Come hangout with me &gt; KGF  ROCKY BHAI on #BIGOLIVE https://t.co/m19kRxJNC6 https://t.co/mJtoJhr0xb,neutral
"""Powerpet will be my KGF""

@actor_nithiin @nithinfanclub #KGF #Powerpet @iamRashmika #Bheeshma 

Full story: https://t.co/9vo18iriZw",neutral
@thenyahdismukes Lol aint changed one bit ,negative
"@Navi3480 @Forumkeralam1 Yeah
Like KGF did to Kannada industry",neutral
#Lucifer &gt;&gt;&gt;&gt;&gt;&gt;#kgf in terms of elevations.. Lalettan ,neutral
@ZeeKannada @VKiragandur @hombalefilms @SRIMURALIII Congratulations kgf films awards,positive
@AkshayKings22 @NoelTom7 @Forumkeralam1 Market is expanding everywhere. With KGF Kannada Industry is out of their c https://t.co/v83ymtQ5LI,neutral
"Latest multilingual ht KGF movie song ""Modi""fied..https://t.co/rBWv5MZ9bh",neutral
@NoaHakim @IsraelinIndia @DrRonMalka @MayaKadosh @Avigailcjm @AdvaVilchinski @BarakGranot @DanAlluf @MantzurReuma https://t.co/LlhRvcJ92z,neutral
"#AlluArjunBirthdayMonth
KGF theme  https://t.co/RYrW3DSjai",neutral
@PrasadGuggilam Kgf mother charecter,negative
